site,year,month,Tave,Tmin,Tmax,ppt,rs.ppt
Sangudo,2017,5,12.07476882,4.519967742,19.62956989,48.1,26.455
Sangudo,2017,6,14.73773333,8.399244444,21.07622222,99.6,54.78
Sangudo,2017,7,16.65567204,9.713064516,23.59827957,98,53.9
Sangudo,2017,8,15.17239247,7.896827957,22.44795699,54.46666667,29.95666667
Sangudo,2017,9,10.68741667,3.921411111,17.45342222,94.7,52.085
Sangudo,2017,10,4.403053763,-1.445301075,10.2514086,25.36666667,25.36666667
Sangudo,2017,11,-7.873527778,-12.51006667,-3.236988889,16.3,16.3
Sangudo,2017,12,-7.891924731,-12.51203226,-3.271817204,1.233333333,1.233333333
Sangudo,2018,1,-10.36204301,-16.1922043,-4.53188172,12.83333333,12.83333333
Sangudo,2018,2,-12.9660119,-19.37507143,-6.556952381,19.8,19.8
Sangudo,2018,3,-5.888827957,-12.51748387,0.739827957,28.13333333,28.13333333
Sangudo,2018,4,0.740977778,-6.238144444,7.7201,13.76666667,13.76666667
Sangudo,2018,5,13.39567742,5.678860215,21.11249462,19.4,10.67
Sangudo,2018,6,14.51999444,7.204544444,21.83544444,62.06666667,34.13666667
Sangudo,2018,7,16.47405376,9.418752688,23.52935484,100.8333333,55.45833333
Sangudo,2018,8,14.80487097,8.232107527,21.37763441,57.36666667,31.55166667
Sangudo,2018,9,5.626538889,0.992511111,10.26056667,60.36666667,33.20166667
Sangudo,2018,10,3.347225806,-2.975526882,9.669978495,14.06666667,14.06666667
Sangudo,2018,11,-3.125516667,-7.632566667,1.381533333,25.06666667,25.06666667
Sangudo,2018,12,-6.9635,-11.8948172,-2.032182796,20.23333333,20.23333333
Sangudo,2019,1,-7.884134409,-13.30735484,-2.460913978,25.16666667,25.16666667
Sangudo,2019,2,-21.17699405,-27.80309524,-14.55089286,20.63333333,20.63333333
Sangudo,2019,3,-3.351112903,-10.46821505,3.765989247,8.533333333,8.533333333
Sangudo,2019,4,4.094561111,-2.265666667,10.45478889,19.3,19.3
Sangudo,2019,5,9.53411828,2.568645161,16.4995914,41.2,22.66
Sangudo,2019,6,13.16405,7.225655556,19.10244444,155.4,85.47
