site,MAT,year,month,ppt,Tmax,Tmin,Tave,rs.ppt
Sangudo,3,1939,1,14,-3.2,-13.9,-8.6,14
Onefour,5,1940,1,7,-9.4,-20,-14.7,7
Mattheis,3.4,1940,1,10,-11.9,-22.3,-17.1,10
Oyen,2.4,1940,1,8,-11.8,-22.6,-17.2,8
Twinriver,5.2,1940,1,3,-4.1,-15.3,-9.7,3
Kinsella,1.8,1940,1,13,-12,-22.1,-17,13
Stavely,4,1940,1,12,-4.4,-16,-10.2,12
Sangudo,2.3,1940,1,31,-9.9,-20.8,-15.4,31
Onefour,6,1941,1,12,-2,-14.5,-8.2,12
Mattheis,4.7,1941,1,15,-6.7,-17.8,-12.2,15
Oyen,3.6,1941,1,11,-8.6,-19,-13.8,11
Twinriver,5.7,1941,1,8,1.4,-11.1,-4.8,8
Kinsella,2.7,1941,1,16,-10.5,-20.7,-15.6,16
Stavely,4.7,1941,1,21,-0.3,-11.8,-6.1,21
Sangudo,3,1941,1,17,-8.8,-19.8,-14.3,17
Onefour,4.9,1942,1,7,1,-12.8,-5.9,7
Mattheis,3.9,1942,1,6,0,-13.5,-6.8,6
Oyen,3.1,1942,1,3,-0.7,-13.7,-7.2,3
Twinriver,4.9,1942,1,5,4.5,-8.4,-1.9,5
Kinsella,2.3,1942,1,8,-2.5,-13.4,-7.9,8
Stavely,3.6,1942,1,14,2.6,-10,-3.7,14
Sangudo,2.7,1942,1,5,-0.2,-11.8,-6,5
Onefour,5,1943,1,23,-10.9,-22.9,-16.9,23
Mattheis,3.8,1943,1,23,-15.1,-25.8,-20.5,23
Oyen,3,1943,1,10,-14.5,-25,-19.8,10
Twinriver,4.9,1943,1,19,-7.8,-20.2,-14,19
Kinsella,2.5,1943,1,8,-14.1,-25.4,-19.8,8
Stavely,3.6,1943,1,32,-9.7,-21.5,-15.6,32
Sangudo,2.7,1943,1,11,-12,-23.8,-17.9,11
Onefour,5.5,1944,1,4,3.3,-11.9,-4.3,4
Mattheis,4.5,1944,1,9,-2.1,-16,-9.1,9
Oyen,3.6,1944,1,7,-2.7,-16,-9.3,7
Twinriver,5.5,1944,1,3,5.6,-7.6,-1,3
Kinsella,3.2,1944,1,9,-3.1,-15.1,-9.1,9
Stavely,4.4,1944,1,9,4,-9.8,-2.9,9
Sangudo,3.4,1944,1,15,-0.5,-15.6,-8,15
Onefour,4.2,1945,1,27,-2.7,-14.9,-8.8,27
Mattheis,2.7,1945,1,16,-6.7,-17.5,-12.1,16
Oyen,1.7,1945,1,13,-7.1,-17.6,-12.3,13
Twinriver,4.3,1945,1,8,2.4,-10,-3.8,8
Kinsella,1,1945,1,23,-7.8,-18.7,-13.3,23
Stavely,2.9,1945,1,12,1,-12.1,-5.5,12
Sangudo,1.2,1945,1,57,-5.5,-17.6,-11.5,57
Onefour,5.1,1946,1,11,-0.9,-13.4,-7.1,11
Mattheis,3.8,1946,1,10,-4.9,-16.7,-10.8,10
Oyen,2.6,1946,1,10,-5.9,-17.4,-11.7,10
Twinriver,5,1946,1,8,2.2,-8.8,-3.3,8
Kinsella,1.8,1946,1,24,-6.6,-17.4,-12,24
Stavely,3.7,1946,1,17,0.8,-10,-4.6,17
Sangudo,2,1946,1,45,-4,-16.6,-10.3,45
Onefour,4.9,1947,1,10,-2.3,-13.2,-7.8,10
Mattheis,3.3,1947,1,12,-6.1,-16.5,-11.3,12
Oyen,2.3,1947,1,8,-6.1,-16.8,-11.5,8
Twinriver,4.7,1947,1,12,-0.3,-11,-5.7,12
Kinsella,1.8,1947,1,16,-7,-18.2,-12.6,16
Stavely,3.3,1947,1,26,-2.1,-12.2,-7.2,26
Sangudo,2,1947,1,29,-5.9,-17.6,-11.8,29
Onefour,4.6,1948,1,17,1.3,-10.9,-4.8,17
Mattheis,2.9,1948,1,15,-2.1,-13.6,-7.8,15
Oyen,2.1,1948,1,10,-2.6,-14.3,-8.4,10
Twinriver,4.1,1948,1,17,2.9,-7.8,-2.4,17
Kinsella,1.5,1948,1,21,-3.5,-14.9,-9.2,21
Stavely,2.4,1948,1,26,1,-9.2,-4.1,26
Sangudo,1.4,1948,1,17,-1.2,-13.5,-7.3,17
Onefour,4.3,1949,1,19,-10.2,-24.2,-17.2,19
Mattheis,3.3,1949,1,15,-11.2,-24.3,-17.7,15
Oyen,2.5,1949,1,6,-11.1,-23.7,-17.4,6
Twinriver,4.1,1949,1,23,-6.3,-20.1,-13.2,23
Kinsella,1.7,1949,1,13,-11.2,-23.3,-17.2,13
Stavely,2.6,1949,1,63,-7.5,-21.2,-14.4,63
Sangudo,1.9,1949,1,29,-8.7,-22,-15.4,29
Onefour,2.6,1950,1,20,-20,-32,-26,20
Mattheis,1.2,1950,1,16,-24.9,-34.8,-29.8,16
Oyen,-0.1,1950,1,15,-24.8,-34.4,-29.6,15
Twinriver,3.1,1950,1,18,-17.6,-29.6,-23.6,18
Kinsella,-0.6,1950,1,23,-24.9,-35.4,-30.1,23
Stavely,1.5,1950,1,46,-20.3,-32,-26.2,46
Sangudo,-0.1,1950,1,26,-21.7,-33.1,-27.4,26
Onefour,2.2,1951,1,21,-8.3,-19.8,-14.1,21
Mattheis,0.9,1951,1,20,-11.4,-22.6,-17,20
Oyen,0,1951,1,20,-12.2,-22.7,-17.5,20
Twinriver,2.1,1951,1,12,-4.9,-16.4,-10.6,12
Kinsella,-0.6,1951,1,28,-13.7,-23.7,-18.7,28
Stavely,0.8,1951,1,31,-6.3,-17.6,-11.9,31
Sangudo,0,1951,1,33,-11.9,-22.4,-17.1,33
Onefour,4.6,1952,1,23,-9.3,-20.9,-15.1,23
Mattheis,3.6,1952,1,15,-13.6,-24.4,-19,15
Oyen,2.8,1952,1,14,-13.9,-24,-18.9,14
Twinriver,5,1952,1,11,-5.8,-16.7,-11.3,11
Kinsella,2.3,1952,1,19,-15.9,-25.1,-20.5,19
Stavely,3.7,1952,1,21,-7.4,-18.2,-12.8,21
Sangudo,2.8,1952,1,35,-13.7,-24.2,-18.9,35
Onefour,6,1953,1,18,-0.7,-14.2,-7.4,18
Mattheis,4.4,1953,1,12,-7.8,-19.2,-13.5,12
Oyen,3.5,1953,1,17,-9.3,-19.2,-14.2,17
Twinriver,5.8,1953,1,17,2.4,-11,-4.3,17
Kinsella,2.7,1953,1,39,-12.9,-21.6,-17.2,39
Stavely,4.3,1953,1,52,-0.4,-14.3,-7.4,52
Sangudo,3.1,1953,1,56,-10.2,-21.3,-15.7,56
Onefour,4.7,1954,1,19,-12.4,-23.6,-18,19
Mattheis,3.1,1954,1,31,-16,-28.1,-22.1,31
Oyen,2.1,1954,1,19,-16.3,-27.8,-22,19
Twinriver,4.5,1954,1,21,-9,-21.3,-15.2,21
Kinsella,1.6,1954,1,17,-18,-28.4,-23.2,17
Stavely,2.8,1954,1,48,-10.7,-22.6,-16.6,48
Sangudo,1.8,1954,1,16,-16.1,-27,-21.5,16
Onefour,2.8,1955,1,9,-2.9,-15.9,-9.4,9
Mattheis,1.7,1955,1,10,-4.8,-17.1,-10.9,10
Oyen,0.8,1955,1,7,-5.1,-17.2,-11.2,7
Twinriver,2.8,1955,1,5,0.9,-11.2,-5.1,5
Kinsella,0.4,1955,1,10,-5.5,-16.3,-10.9,10
Stavely,1.4,1955,1,13,-0.3,-12.8,-6.6,13
Sangudo,0.7,1955,1,11,-2.8,-14.5,-8.7,11
Onefour,4.2,1956,1,14,-8,-19.5,-13.7,14
Mattheis,2.6,1956,1,22,-13.7,-23.9,-18.8,22
Oyen,1.5,1956,1,16,-13.7,-22.9,-18.3,16
Twinriver,4.4,1956,1,12,-4.2,-15.3,-9.8,12
Kinsella,1.3,1956,1,19,-15.5,-23.2,-19.4,19
Stavely,3.1,1956,1,39,-5.8,-17,-11.4,39
Sangudo,1.6,1956,1,35,-13.8,-23.6,-18.7,35
Onefour,4.5,1957,1,28,-11.3,-23.1,-17.2,28
Mattheis,3.6,1957,1,15,-12.7,-23.9,-18.3,15
Oyen,2.6,1957,1,6,-12.7,-22.9,-17.8,6
Twinriver,4.4,1957,1,20,-8.5,-20,-14.3,20
Kinsella,2.1,1957,1,7,-12.3,-21.7,-17,7
Stavely,3,1957,1,48,-9.1,-21.4,-15.2,48
Sangudo,2.1,1957,1,19,-10.2,-20.9,-15.5,19
Onefour,5.3,1958,1,6,2.9,-9.5,-3.3,6
